Date,Exchange rate
2016-12-20,1.03906
2016-12-21,1.04263
2016-12-22,1.04378
2016-12-23,1.04532
2016-12-25,1.04523
2016-12-26,1.04538
2016-12-27,1.04614
2016-12-28,1.04143
2016-12-29,1.05658
2016-12-30,1.0515
2017-01-01,1.0523
2017-01-02,1.04575
2017-01-03,1.04174
2017-01-04,1.04971
2017-01-05,1.06039
2017-01-06,1.0529
2017-01-08,1.05294
2017-01-09,1.05858
2017-01-10,1.05522
2017-01-11,1.05941
2017-01-12,1.06162
2017-01-13,1.0642
2017-01-15,1.06272
2017-01-16,1.06022
2017-01-17,1.06966
2017-01-18,1.0628
2017-01-19,1.06591
2017-01-20,1.0699
2017-01-22,1.07126
2017-01-23,1.07591
2017-01-24,1.07281
2017-01-25,1.07525
2017-01-26,1.06834
2017-01-27,1.06958
2017-01-29,1.07169
2017-01-30,1.07075
2017-01-31,1.08008
2017-02-01,1.07653
2017-02-02,1.07617
2017-02-03,1.07818
2017-02-05,1.07824
2017-02-06,1.0743
2017-02-07,1.06788
2017-02-08,1.06913
2017-02-09,1.06572
2017-02-10,1.06397
2017-02-12,1.06187
2017-02-13,1.05987
2017-02-14,1.05782
2017-02-15,1.0603
2017-02-16,1.06712
2017-02-17,1.06114
2017-02-19,1.06251
2017-02-20,1.06088
2017-02-21,1.0541
2017-02-22,1.05505
2017-02-23,1.05839
2017-02-24,1.05595
2017-02-26,1.0552
2017-02-27,1.05838
2017-02-28,1.05692
2017-03-01,1.05359
2017-03-02,1.0507
2017-03-03,1.06203
2017-03-05,1.06207
2017-03-06,1.05789
2017-03-07,1.05692
2017-03-08,1.05447
2017-03-09,1.05794
2017-03-10,1.06728
2017-03-12,1.06894
2017-03-13,1.06507
2017-03-14,1.06119
2017-03-15,1.07375
2017-03-16,1.07718
2017-03-17,1.07382
2017-03-19,1.0742
2017-03-20,1.07368
2017-03-21,1.08125
2017-03-22,1.07891
2017-03-23,1.0783
2017-03-24,1.07969
2017-03-26,1.08451
2017-03-27,1.08608
2017-03-28,1.08162
2017-03-29,1.07583
2017-03-30,1.06877
2017-03-31,1.06528
2017-04-02,1.06692
2017-04-03,1.06695
2017-04-04,1.06779
2017-04-05,1.06717
2017-04-06,1.06437
2017-04-07,1.05889
2017-04-09,1.05805
2017-04-10,1.05971
2017-04-11,1.06102
2017-04-12,1.06698
2017-04-13,1.06148
2017-04-14,1.06105
2017-04-16,1.06097
2017-04-17,1.06432
2017-04-18,1.07274
2017-04-19,1.07145
2017-04-20,1.07141
2017-04-21,1.07237
2017-04-23,1.08733
2017-04-24,1.08649
2017-04-25,1.09275
2017-04-26,1.09083
2017-04-27,1.0865
2017-04-28,1.08961
2017-04-30,1.09057
2017-05-01,1.09084
2017-05-02,1.09346
2017-05-03,1.0888
2017-05-04,1.09804
2017-05-05,1.0995
2017-05-07,1.09647
2017-05-08,1.09265
2017-05-09,1.08861
2017-05-10,1.08671
2017-05-11,1.08642
2017-05-12,1.0931
2017-05-14,1.09277
2017-05-15,1.09799
